trial_number,time,is_biased_choice,side_choice,RT,observed_reward,unobserved_reward,biased_reward,unbiased_reward,BLUE_RIGHT_LEFT_RED,RT_net,RT_zscore,subject_file,schedule
44,18:38.2,TRUE,RIGHT,2457,1,0,1,0,FALSE,957,-0.314275568,1611166533_64.csv,schedule_7
45,18:43.0,FALSE,LEFT,3519,0,0,0,0,FALSE,2019,-0.040472345,1611166533_64.csv,schedule_7
46,18:44.2,FALSE,LEFT,2496,0,1,1,0,FALSE,996,-0.304220647,1611166533_64.csv,schedule_7
47,18:47.1,FALSE,LEFT,2887,1,0,0,1,FALSE,1387,-0.203413622,1611166533_64.csv,schedule_7
48,18:49.5,TRUE,RIGHT,2481,0,1,0,1,FALSE,981,-0.308087924,1611166533_64.csv,schedule_7
49,18:52.2,FALSE,LEFT,2625,0,0,0,0,FALSE,1125,-0.270962063,1611166533_64.csv,schedule_7
50,18:57.2,FALSE,LEFT,3895,0,1,1,0,FALSE,2395,0.056467403,1611166533_64.csv,schedule_7
51,18:58.7,FALSE,LEFT,2671,1,1,1,1,FALSE,1171,-0.259102413,1611166533_64.csv,schedule_7
52,19:01.2,TRUE,RIGHT,2482,0,1,0,1,FALSE,982,-0.307830106,1611166533_64.csv,schedule_7
53,19:03.8,FALSE,LEFT,2638,0,0,0,0,FALSE,1138,-0.267610423,1611166533_64.csv,schedule_7
54,19:06.4,FALSE,LEFT,2592,0,0,0,0,FALSE,1092,-0.279470073,1611166533_64.csv,schedule_7
55,19:09.0,FALSE,LEFT,2248,0,0,0,0,FALSE,748,-0.368159629,1611166533_64.csv,schedule_7
56,19:11.6,TRUE,RIGHT,2968,1,0,1,0,FALSE,1468,-0.182530326,1611166533_64.csv,schedule_7
57,19:14.0,TRUE,RIGHT,2338,0,0,0,0,FALSE,838,-0.344955966,1611166533_64.csv,schedule_7
58,19:16.2,FALSE,LEFT,2223,0,1,1,0,FALSE,723,-0.374605091,1611166533_64.csv,schedule_7
59,19:18.6,FALSE,LEFT,2335,0,1,1,0,FALSE,835,-0.345729422,1611166533_64.csv,schedule_7
