diagram,split,stratum,n_bins,strategy,bin,lo,hi,n,predicted,empirical,gap,emp_lo,emp_hi,n_boot
doubled,training,all,100,uniform,77,0.77,0.78,1459,0.7749044847850546,0.5956134338588074,-0.1792910509262472,0.5715785379638657,0.6197138181174805,500
doubled,training,all,100,uniform,78,0.78,0.79,1800,0.7851209310915841,0.5755555555555556,-0.2095653755360285,0.5500713740105104,0.6014984004638732,500
doubled,training,all,100,uniform,79,0.79,0.8,2635,0.7949411296119685,0.5688804554079696,-0.2260606742039989,0.5452344275834263,0.5913258543775289,500
doubled,training,all,100,uniform,80,0.8,0.81,2057,0.8049798551301546,0.6071949440933399,-0.19778491103681473,0.5832919532023475,0.6301565532432702,500
doubled,training,all,100,uniform,81,0.81,0.8200000000000001,4807,0.8174086689155071,0.5217391304347826,-0.2956695384807245,0.5041262691082943,0.5396810103701946,500
doubled,training,all,100,uniform,82,0.8200000000000001,0.8300000000000001,1762,0.8250559130206139,0.6191827468785471,-0.20587316614206674,0.5954086994503178,0.6425949189545194,500
doubled,training,all,100,uniform,83,0.8300000000000001,0.84,1891,0.8349844301760968,0.6382866208355368,-0.19669780934056003,0.6137366559859213,0.6635001161108233,500
doubled,training,all,100,uniform,84,0.84,0.85,2524,0.8448227179016963,0.6113312202852615,-0.23349149761643473,0.5868293963993115,0.6303972660790391,500
doubled,training,all,100,uniform,85,0.85,0.86,3106,0.8551496406983884,0.6416613007083065,-0.21348833999008188,0.6165108314356521,0.6629467845681498,500
doubled,training,all,100,uniform,86,0.86,0.87,3069,0.8649685638043126,0.7057673509286413,-0.15920121287567135,0.6821699363591094,0.7258474470179924,500
doubled,training,all,100,uniform,87,0.87,0.88,3022,0.875231597312671,0.7217074784910655,-0.15352411882160544,0.7030540783371112,0.7417447041133283,500
doubled,training,all,100,uniform,88,0.88,0.89,3904,0.8851625349396879,0.7297643442622951,-0.1553981906773928,0.7128403501241328,0.748005248937738,500
doubled,training,all,100,uniform,89,0.89,0.9,4355,0.8952932510226458,0.7214695752009185,-0.1738236758217273,0.7043941222019353,0.7379715194501237,500
doubled,training,all,100,uniform,90,0.9,0.91,9591,0.906547610331637,0.7591492023772286,-0.1473984079544084,0.7420431285674804,0.7738068002726228,500
doubled,training,all,100,uniform,91,0.91,0.92,23110,0.9144543516142014,0.8093033318909563,-0.10515101972324514,0.7986803272904874,0.8191005716408439,500
doubled,training,all,100,uniform,92,0.92,0.93,9997,0.9243389819838032,0.833149944983495,-0.09118903700030812,0.821401384080759,0.8457650224392419,500
doubled,training,all,100,uniform,93,0.93,0.9400000000000001,6365,0.9346994235411921,0.9096622152395916,-0.0250372083016005,0.8997385814278639,0.9197994049492525,500
doubled,training,all,100,uniform,94,0.9400000000000001,0.9500000000000001,2660,0.9473923328553193,0.856015037593985,-0.09137729526133431,0.838463962357951,0.871116747180499,500
doubled,training,all,100,uniform,95,0.9500000000000001,0.96,472,0.9500106518301121,0.8516949152542372,-0.09831573657587489,0.8202547770700637,0.8811594053367451,500
doubled,training,all,10,quantile,0,0.048811980671438646,0.08513999244432938,29364,0.07330102461474669,0.15702901512055578,0.08372799050580909,0.14815092953268794,0.16426139247963498,500
doubled,training,all,10,quantile,1,0.08513999244432938,0.11540289959453234,29363,0.09390991434526666,0.22579436706058645,0.1318844527153198,0.2160143171832813,0.23651725812901223,500
